trade_date,h.1,h.2,h.3,h.4,h.5
2015-12-31,1.2734382087640876,1.272722330771949,1.2720207733724584,1.2713332500930943,1.2706594801919984
2016-01-04,1.5733503764041605,1.566977909351969,1.5607297157443643,1.5546033720475871,1.5485965019907184
2016-01-05,1.5094856406189652,1.5043234221506216,1.499261729795957,1.494298605966467,1.4894321311946146
2016-01-06,1.5216302616959088,1.516265284342188,1.5110046879620975,1.5058464417199153,1.50078855429185
2016-01-07,1.5901529473181508,1.5834391299116504,1.576856567815319,1.5704026949843264,1.5640749955400872
2016-01-08,1.5440940263803142,1.5382494026067566,1.5325190252333134,1.5269006610555145,1.5213921205219252
2016-01-11,1.481481865346092,1.4768040220468786,1.4722178386961862,1.467721519264173,1.4633133029132832
2016-01-12,1.4458764147226655,1.4418051254925577,1.4378145426053057,1.4339030661957541,1.4300691281133366
2016-01-13,1.4091655021860552,1.4057477411356063,1.402398444575365,1.3991162410266498,1.3958997864842
2016-01-14,1.3826587382545945,1.3797051084296361,1.3768113720164725,1.3739763145024566,1.3711987460027086
2016-01-15,1.3269882596881368,1.325065399325461,1.3231824392267795,1.3213385514427007,1.3195329252041756
2016-01-19,1.351047279024228,1.3485563791180646,1.34611853693664,1.3437326223172579,1.3413975291703935
2016-01-20,1.657412629004199,1.6486357340571944,1.6400447901522732,1.631635857651299,1.6234050803829903
2016-01-21,1.8260304294911083,1.8144474925137262,1.8030979131027334,1.7919769898811042,1.7810801161888878
2016-01-22,1.8291939099746464,1.8171988051285555,1.8054522924061185,1.7939492198687126,1.7826845423488835
2016-01-25,1.7968864954880375,1.7851613585274204,1.773687042303062,1.7624581813303675,1.751469524901635
2016-01-26,1.71789087518145,1.7089616136048704,1.7002049766628378,1.6916176270956917,1.6831962921612271
2016-01-27,1.6402132535500924,1.6328697541785488,1.6256666838751586,1.6186013572276698,1.6116711401767245
2016-01-28,1.6150498772447948,1.6079276532703375,1.6009488828075902,1.5941106764627209,1.5874102030391255
2016-01-29,2.129153187712867,2.111871167474329,2.094940354723116,2.0783536121744985,2.062103947588585
2016-02-01,2.206438612805555,2.187303340815166,2.1685638090005246,2.1502118329842794,2.1322393976517335
2016-02-02,2.1680742097702494,2.149773007454189,2.1318492827088544,2.1142952497443317,2.0971032833591217
2016-02-03,2.0973490996926056,2.0803398655080896,2.0636844831609173,2.0473755912895233,2.031405981674528
2016-02-04,1.9888944577304764,1.9742504610981424,1.9599078852945242,1.9458605261037736,1.9321023070128776
2016-02-05,1.8917804019532596,1.8790735299994434,1.8666285873307091,1.8544401747464798,1.8425030043409762
2016-02-08,1.8012018007098194,1.7903633636152445,1.7797473691152776,1.769349251910747,1.7591645403983682
2016-02-09,1.7207823013804147,1.7117518145592707,1.702902502478044,1.694230730306516,1.685732936138491
2016-02-10,1.6428755366220342,1.635465465356609,1.6282018298091256,1.6210817361586312,1.6141023477710388
2016-02-11,1.7614389552918177,1.752040452417233,1.7428222881785334,1.7337810022348508,1.7249132006423982
2016-02-12,1.8240609601128077,1.8136960015974661,1.8035260911209536,1.7935475582645806,1.7837568016796843
2016-02-16,1.7403543514651356,1.7315637871096583,1.7229375255332016,1.714472495783537,1.7061656843070254
2016-02-17,1.795278283296099,1.7855754028865416,1.7760521937205374,1.7667053287699872,1.7575315426144031
2016-02-18,1.7143658828317445,1.706081121190357,1.6979501703932176,1.6899701748632037,1.6821383320384449
2016-02-19,1.6398095864930808,1.6327867701427958,1.6258954204342657,1.6191330763209484,1.6124973228269248
2016-02-22,1.5669223543065027,1.5611632855132604,1.5555129831468142,1.5499693930320841,1.5445304997893743
2016-02-23,1.5138304202769417,1.5089539108929853,1.5041708262421973,1.499479376482689,1.4948778060625698
2016-02-24,1.5223480826460103,1.5172361748914938,1.512223348217304,1.5073076821935447,1.502487293612875
2016-02-25,1.5552365795547909,1.5494092502025694,1.543696437045065,1.5380958896587886,1.5326054018446156
2016-02-26,1.6151234853647982,1.6082944517057833,1.601597196001515,1.5950291753696137,1.5885878959969917
2016-02-29,1.5884890795941493,1.5823291466802145,1.5762853916738913,1.5703556234301772,1.564537692129625
2016-03-01,1.7672651258107956,1.7578840914269132,1.748679153125691,1.7396470053195938,1.7307844044719212
2016-03-02,1.692508507120031,1.6842992406345587,1.6762474282400257,1.6683500499600679,1.6606041437416
2016-03-03,1.634629015750299,1.6273083407648155,1.6201314943534317,1.6130956507304421,1.6061980396280726
2016-03-04,1.581852938075872,1.5754634477866052,1.5692009029153584,1.5630627813299387,1.55704661100749
2016-03-07,1.5419170043803523,1.5361110445701578,1.5304240017703379,1.524853440336173,1.519396974509542
